RANK	PLAYER	POSITION	TEAM	SALARY(M)
1	Kobe Bryant	SF	Los Angeles Lakers	25
2	Joe Johnson	SF	Brooklyn Nets	24.894863
3	LeBron James	SF	Cleveland Cavaliers	22.9705
4	Carmelo Anthony	SF	New York Knicks	22.875
5	Dwight Howard	C	Houston Rockets	22.359364
6	Chris Bosh	PF	Miami Heat	22.19273
7	Chris Paul	PG	Los Angeles Clippers	21.468695
8	Kevin Durant	SF	Oklahoma City Thunder	20.158622
9	Derrick Rose	PG	Chicago Bulls	20.093064
10	Dwyane Wade	SG	Miami Heat	20
11	LaMarcus Aldridge	PF	San Antonio Spurs	19.689
12	Kevin Love	PF	Cleveland Cavaliers	19.689
13	Marc Gasol	C	Memphis Grizzlies	19.688
14	Blake Griffin	PF	Los Angeles Clippers	18.907726
15	Paul Millsap	PF	Atlanta Hawks	18.671659
16	Paul George	SF	Indiana Pacers	17.120106
17	Russell Westbrook	PG	Oklahoma City Thunder	16.744218
18	Kyrie Irving	PG	Cleveland Cavaliers	16.407501
19	Kawhi Leonard	SF	San Antonio Spurs	16.4075
20	Enes Kanter	C	Oklahoma City Thunder	16.4075
21	Jimmy Butler	SG	Chicago Bulls	16.4075
22	Tobias Harris	SF	Orlando Magic	16
23	John Wall	PG	Washington Wizards	15.85195
24	DeMarcus Cousins	C	Sacramento Kings	15.85195
25	James Harden	SG	Houston Rockets	15.756438
26	Roy Hibbert	C	Los Angeles Lakers	15.592217
27	Eric Gordon	SG	New Orleans Pelicans	15.514031
28	Klay Thompson	SG	Golden State Warriors	15.501
29	David Lee	PF	Dallas Mavericks	15.49368
30	Gordon Hayward	SF	Utah Jazz	15.40957
31	Chandler Parsons	SF	Dallas Mavericks	15.3615
32	Goran Dragic	PG	Miami Heat	14.783
33	Khris Middleton	SG	Milwaukee Bucks	14.7
34	Draymond Green	PF	Golden State Warriors	14.26087
35	Tristan Thompson	C	Cleveland Cavaliers	14.26087
36	Danilo Gallinari	SF	Denver Nuggets	14
37	Reggie Jackson	PG	Detroit Pistons	13.913044
38	Andrew Bogut	C	Golden State Warriors	13.8
39	DeMarre Carroll	SF	Toronto Raptors	13.6
40	Al Jefferson	C	Charlotte Hornets	13.5
41	Eric Bledsoe	PG	Phoenix Suns	13.5
42	Tony Parker	PG	San Antonio Spurs	13.4375
43	Joakim Noah	C	Chicago Bulls	13.4
44	Nicolas Batum	SG	Charlotte Hornets	13.125306
45	Nene Hilario	C	Washington Wizards	13
46	Tyson Chandler	C	Phoenix Suns	13
47	Ricky Rubio	PG	Minnesota Timberwolves	12.7
48	Robin Lopez	C	New York Knicks	12.65
49	Ty Lawson	PG	Houston Rockets	12.404495
50	Rudy Gay	SF	Sacramento Kings	12.403101
51	Serge Ibaka	PF	Oklahoma City Thunder	12.25
52	Nikola Pekovic	C	Minnesota Timberwolves	12.1
53	Kemba Walker	PG	Charlotte Hornets	12
54	Kyle Lowry	PG	Toronto Raptors	12
55	Al Horford	C	Atlanta Hawks	12
56	Andre Iguodala	SF	Golden State Warriors	11.710456
57	Stephen Curry	PG	Golden State Warriors	11.370786
58	Nikola Vucevic	C	Orlando Magic	11.25
59	Thaddeus Young	PF	Brooklyn Nets	11.235955
60	Kenneth Faried	PF	Denver Nuggets	11.235955
61	Marcin Gortat	C	Washington Wizards	11.217391
62	Tyreke Evans	SG	New Orleans Pelicans	10.734586
63	Jrue Holiday	PG	New Orleans Pelicans	10.595507
64	Brendan Haywood	C	Cleveland Cavaliers	10.5225
65	Wilson Chandler	SF	Denver Nuggets	10.449438
66	Monta Ellis	SG	Indiana Pacers	10.3
67	Luol Deng	SF	Miami Heat	10.151612
68	Gerald Wallace	SF	Philadelphia 76ers	10.105855
69	DeMar DeRozan	SG	Toronto Raptors	10.05
70	Danny Green	SG	San Antonio Spurs	10
71	Tiago Splitter	C	Atlanta Hawks	9.75625
72	Zach Randolph	PF	Memphis Grizzlies	9.638555
73	Mike Conley	PG	Memphis Grizzlies	9.588426
74	Rajon Rondo	PG	Sacramento Kings	9.5
75	Alec Burks	SG	Utah Jazz	9.463484
76	Jeff Green	SF	Memphis Grizzlies	9.45
77	Omer Asik	C	New Orleans Pelicans	9.213483
78	Lance Stephenson	SF	Memphis Grizzlies	9
79	Iman Shumpert	SG	Cleveland Cavaliers	8.988765
80	Kevin Garnett	PF	Minnesota Timberwolves	8.5
81	Ryan Anderson	PF	New Orleans Pelicans	8.5
82	Brandon Jennings	PG	Orlando Magic	8.344497
83	Dirk Nowitzki	PF	Dallas Mavericks	8.333334
84	Corey Brewer	SG	Houston Rockets	8.229375
85	Trevor Ariza	SF	Houston Rockets	8.19303
86	Channing Frye	PF	Orlando Magic	8.193029
87	Al-Farouq Aminu	SF	Portland Trail Blazers	8.042895
88	Markieff Morris	PF	Washington Wizards	8
89	O.J. Mayo	SG	Milwaukee Bucks	8
90	Arron Afflalo	SG	New York Knicks	8
91	Jeff Teague	PG	Atlanta Hawks	8
92	Ersan Ilyasova	PF	Orlando Magic	7.9
93	Avery Bradley	PG	Boston Celtics	7.730337
94	Kosta Koufos	C	Sacramento Kings	7.7
95	Boris Diaw	C	San Antonio Spurs	7.5
96	Pau Gasol	C	Chicago Bulls	7.44876
97	Jose Calderon	PG	New York Knicks	7.402812
98	Kevin Martin	SG	Minnesota Timberwolves	7.085
99	J.J. Redick	SG	Los Angeles Clippers	7.085
100	Anthony Davis	PF	New Orleans Pelicans	7.07073
