0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
7,98,84,77,94,22,2,88,67,18,38,23,16,81,65,30,55,15,50,5,6,76,93,32,4,30,6,77,37,13,73,56,46,43,65,75,68,22,19,3,71,33,59,68,33,17,91,61,11,29,99,91,76,44,91,61,12,39,9,7,35,76,94,23,56,39,5,66,83,12,64,20,86,30,14,12,73,44,55,36,64,77,17,21,17,3,16,46,19,13,6,67,29,31,16,88,100,23,92,72
65,26,36,26,73,41,6,34,96,24,74,49,38,71,99,23,14,29,20,55,71,41,5,29,28,57,16,13,66,82,83,35,91,43,67,58,43,69,25,65,95,73,97,64,75,95,30,71,72,94,79,77,51,84,1,14,72,7,44,56,58,5,95,8,91,10,20,16,68,54,24,60,47,87,91,87,12,86,65,53,39,3,10,71,93,90,11,41,64,77,71,6,69,26,21,59,53,33,93,94
51,41,18,30,6,81,8,22,17,4,29,14,94,58,81,41,56,23,12,81,44,2,72,95,7,89,15,4,88,96,36,52,9,36,40,3,44,75,14,97,54,75,38,4,22,91,44,81,95,85,79,83,9,43,68,70,62,46,49,20,82,73,28,1,21,23,68,2,38,66,75,82,61,58,74,63,29,4,5,33,7,42,41,13,11,72,39,31,22,81,17,19,73,7,27,53,52,52,100,56
86,71,12,8,7,73,41,47,44,67,87,6,4,44,83,55,66,9,74,6,27,65,12,4,41,23,70,1,13,42,19,86,24,39,36,66,50,32,10,16,29,79,29,62,78,63,47,54,47,43,95,10,14,66,47,71,44,51,54,11,11,78,63,80,7,45,19,87,12,100,69,22,25,74,73,22,12,25,68,65,31,35,26,25,70,11,45,84,69,65,57,78,47,91,58,34,96,62,84,43
82,45,83,62,11,65,5,14,82,89,6,27,92,76,12,83,53,85,46,90,41,60,81,55,50,3,18,82,92,95,4,89,88,34,53,54,45,33,23,52,77,3,10,21,15,46,3,74,17,54,21,6,88,89,17,73,55,98,22,55,95,64,74,13,28,5,97,97,6,23,57,5,67,55,35,7,1,40,52,30,56,8,39,19,92,53,32,68,73,25,31,88,74,9,28,51,65,39,37,47
20,43,13,45,47,1,43,67,23,80,9,56,96,87,53,16,54,29,2,80,10,95,12,29,73,11,38,79,27,67,29,37,48,56,67,5,99,16,6,51,71,48,23,43,42,47,42,77,92,16,30,98,82,87,84,95,12,72,65,34,15,4,44,33,8,77,9,92,49,42,29,10,66,47,72,8,18,33,22,93,82,35,22,56,41,82,30,40,84,18,20,22,29,52,96,30,94,72,33,16
26,45,4,17,27,19,47,78,52,30,84,46,58,77,96,88,54,31,49,37,73,41,44,36,77,22,89,55,3,27,14,28,86,88,77,21,22,65,53,25,86,82,97,70,94,88,41,100,66,32,98,43,27,32,94,57,41,100,34,17,89,53,83,98,30,69,40,36,85,1,9,90,23,40,87,98,74,61,40,81,66,15,26,65,22,54,14,31,5,18,16,77,87,48,96,16,97,23,9,50
51,29,79,6,79,64,82,64,78,72,30,22,93,23,15,2,69,87,83,81,20,86,92,33,2,44,11,6,8,64,51,28,50,18,62,9,26,92,30,48,56,53,17,73,88,53,33,63,17,58,46,84,12,26,73,64,76,55,28,2,72,40,9,36,89,11,35,93,17,14,100,82,99,38,84,40,42,44,27,38,88,49,63,38,20,61,61,70,22,14,79,58,70,14,34,76,35,70,7,54
77,69,22,91,82,2,56,50,88,37,17,81,80,39,34,92,92,32,40,39,26,17,4,17,57,45,71,36,7,59,96,45,22,34,53,25,42,39,66,95,36,70,68,19,99,70,61,78,30,40,79,32,86,99,26,78,75,88,14,40,49,78,84,96,69,22,96,4,14,12,54,27,96,11,94,84,10,62,83,62,9,70,66,80,9,100,92,27,52,9,60,47,27,10,64,20,62,94,17,67
76,79,8,20,81,71,16,25,5,20,52,16,73,51,7,87,44,91,56,25,46,51,35,99,39,9,17,5,22,37,54,11,9,89,10,59,89,71,98,76,20,79,47,35,36,98,99,42,87,30,71,38,2,78,58,26,99,75,67,95,5,60,71,79,63,56,50,2,10,56,18,4,74,77,89,29,19,4,53,62,8,57,5,46,76,57,85,70,54,18,53,13,39,11,3,76,94,69,30,24
41,98,41,77,10,72,83,86,8,38,52,79,99,38,42,90,94,79,78,51,36,93,67,54,40,91,59,41,20,17,96,87,63,46,76,35,7,11,22,27,5,81,24,87,41,16,20,94,47,25,51,29,41,25,52,13,51,16,26,48,17,98,93,38,6,43,81,4,83,12,53,23,45,22,31,14,92,62,97,91,5,93,3,98,65,44,19,36,80,90,47,1,99,55,53,2,25,20,74,89
48,94,2,61,64,22,69,14,37,83,56,14,2,93,70,83,36,75,32,74,96,53,43,50,57,86,43,96,62,59,34,9,26,59,84,45,97,25,55,95,97,13,9,83,77,18,32,7,10,89,33,96,52,70,55,79,73,79,5,16,25,2,51,22,88,41,49,81,55,10,3,60,92,35,87,37,64,19,13,48,73,70,12,44,68,50,83,83,92,92,58,83,49,70,70,74,73,37,6,91
38,49,90,38,71,33,27,2,82,19,23,56,99,29,89,28,88,81,32,42,81,98,64,31,13,33,94,32,68,66,17,20,14,73,1,41,97,50,44,43,13,39,18,33,53,11,27,67,82,64,9,31,45,54,4,16,3,36,71,7,72,8,96,5,51,81,90,49,84,94,54,71,41,23,50,73,34,42,44,92,88,64,47,77,14,44,95,8,96,8,10,41,68,20,90,9,20,42,48,19
20,70,85,80,62,2,97,68,36,25,80,11,17,71,4,100,25,30,52,89,16,41,49,87,51,10,98,39,92,30,19,6,51,97,57,67,85,57,95,8,52,51,59,14,1,85,12,92,52,46,68,36,74,5,99,80,92,42,81,87,6,90,13,4,33,4,65,63,7,2,35,90,52,51,30,30,90,63,14,5,50,56,13,14,95,39,57,50,11,34,20,48,48,44,37,69,38,37,8,70
49,37,73,12,72,33,82,77,68,49,55,63,7,67,8,48,42,72,65,20,31,87,74,87,27,95,2,20,29,15,50,44,11,65,52,10,33,36,1,85,78,50,48,27,74,94,8,4,42,26,42,47,69,98,4,90,54,30,10,9,67,18,95,6,71,7,96,24,97,62,9,83,20,67,4,7,77,65,9,74,27,30,87,71,64,96,54,62,71,34,28,11,53,80,60,16,95,48,71,25
44,24,74,63,22,28,74,68,68,97,19,79,82,51,91,62,51,51,97,68,57,70,59,25,95,15,66,79,50,15,59,9,54,18,8,82,36,19,40,13,52,90,13,20,20,53,77,30,48,47,42,24,54,3,16,85,54,76,3,39,93,14,66,98,58,61,17,18,93,66,54,18,49,57,1,2,7,67,44,57,62,31,11,53,97,66,92,42,92,12,51,91,36,47,40,62,99,23,38,88
11,3,84,62,54,3,86,63,48,96,6,29,4,86,39,35,69,18,65,4,79,42,35,71,13,23,13,39,43,56,35,60,14,45,13,93,55,33,43,23,83,48,86,89,43,8,59,61,42,11,76,79,5,97,6,26,89,7,24,28,32,50,29,62,63,57,61,36,97,3,64,1,78,73,9,54,5,35,38,88,41,84,26,35,14,82,39,80,85,71,16,9,89,6,74,97,65,68,79,22
57,53,66,10,7,27,98,35,100,64,48,33,73,13,68,92,60,95,3,24,54,43,72,18,52,64,47,15,36,3,43,76,50,44,63,16,25,70,22,69,36,14,97,19,100,100,48,90,98,72,99,38,43,23,54,60,5,82,11,63,19,27,78,12,43,45,42,62,17,74,78,99,17,74,85,66,100,50,20,87,65,41,40,26,49,17,71,9,77,91,69,68,99,99,74,48,13,20,2,16
66,62,85,56,99,1,15,6,8,32,85,16,22,58,75,63,75,92,24,16,74,41,24,20,39,34,58,7,27,77,91,4,41,4,66,16,37,15,35,12,57,12,58,65,7,23,6,63,69,35,78,75,20,74,59,100,37,2,92,33,39,2,8,84,7,45,64,13,27,55,97,76,29,16,50,64,10,20,41,16,36,12,16,64,21,12,93,43,65,74,56,79,97,65,94,49,55,59,1,65
44,63,85,41,80,39,70,68,7,89,28,47,28,48,56,1,95,23,6,40,62,53,93,34,29,22,62,75,7,60,77,64,81,2,28,24,71,40,19,62,23,53,36,26,72,74,17,21,55,48,9,1,34,26,37,51,97,7,1,95,99,47,50,90,86,61,87,29,36,81,44,41,60,23,94,29,57,51,70,49,7,19,52,80,82,94,56,97,30,67,70,37,39,90,80,94,80,37,99,5
77,23,60,82,50,21,86,17,45,24,64,34,28,81,91,33,54,92,34,30,17,81,32,55,45,78,23,90,47,73,14,31,61,74,90,19,86,65,83,96,89,96,25,22,3,26,80,64,25,3,92,100,48,62,29,38,63,47,64,94,33,15,52,49,1,12,66,12,74,99,80,71,7,95,26,74,90,41,95,77,24,90,79,88,40,54,35,93,70,10,84,3,67,3,81,23,36,4,97,34
47,77,41,57,63,85,71,56,83,30,86,18,44,18,11,74,23,63,6,60,29,43,89,39,49,36,96,44,82,70,23,65,80,16,94,5,17,42,19,35,58,61,80,52,49,86,63,2,40,14,16,5,50,29,31,4,1,64,38,2,95,46,72,69,10,12,65,66,61,49,7,87,47,2,34,96,73,12,18,65,85,95,64,57,79,46,35,76,82,90,96,7,65,69,73,30,7,35,81,50
6,65,21,65,77,75,38,21,70,87,12,64,8,31,48,3,65,91,35,48,7,34,93,40,97,3,33,29,94,46,34,95,98,9,64,95,3,42,16,78,88,90,89,9,75,46,51,4,69,37,34,42,54,33,24,14,79,85,26,42,88,92,26,74,6,94,72,22,67,57,57,29,61,93,46,16,6,5,70,53,86,44,45,84,58,80,51,73,10,94,37,27,28,67,81,20,54,66,66,66
82,7,53,23,2,17,92,19,62,61,49,7,38,40,53,72,21,89,91,21,64,63,7,9,38,77,34,52,51,86,44,24,52,21,62,12,37,23,13,31,33,79,61,55,42,46,100,91,71,87,46,37,75,15,73,86,31,78,99,90,98,27,62,82,94,23,57,27,90,1,37,34,52,39,11,60,37,21,69,99,79,88,44,61,39,89,58,54,58,62,74,79,27,68,55,35,18,47,1,54
